ANHO_ING,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_1,ret_2,ret_3,NIVEL_GLOBAL
2008,IEIND,208,158.0,141.0,124.0,0.7596153846153846,0.6778846153846154,0.5961538461538461,PREGRADO
2008,IEINF,97,70.0,64.0,52.0,0.7216494845360825,0.6597938144329897,0.5360824742268041,PREGRADO
2008,IEMEC,119,83.0,73.0,63.0,0.6974789915966386,0.6134453781512605,0.5294117647058824,PREGRADO
2008,IEMET,59,44.0,41.0,39.0,0.7457627118644068,0.6949152542372882,0.6610169491525424,PREGRADO
2008,IEMIN,81,71.0,65.0,59.0,0.8765432098765432,0.8024691358024691,0.7283950617283951,PREGRADO
2008,IEQUIM,73,60.0,58.0,52.0,0.821917808219178,0.7945205479452054,0.7123287671232876,PREGRADO
2008,INGAGRO,52,37.0,37.0,36.0,0.7115384615384616,0.7115384615384616,0.6923076923076923,PREGRADO
2008,INGAL,44,31.0,31.0,30.0,0.7045454545454546,0.7045454545454546,0.6818181818181818,PREGRADO
2008,INGAMB,45,25.0,21.0,20.0,0.5555555555555556,0.4666666666666667,0.4444444444444444,PREGRADO
2008,INGBIO,49,42.0,42.0,41.0,0.8571428571428571,0.8571428571428571,0.8367346938775511,PREGRADO
2008,INGCO,197,167.0,155.0,115.0,0.8477157360406091,0.7868020304568528,0.583756345177665,PREGRADO
2008,INGEST,37,29.0,25.0,22.0,0.7837837837837838,0.6756756756756757,0.5945945945945946,PREGRADO
2008,INGFI,54,32.0,28.0,28.0,0.5925925925925926,0.5185185185185185,0.5185185185185185,PREGRADO
2008,INGMA,44,30.0,26.0,21.0,0.6818181818181818,0.5909090909090909,0.4772727272727273,PREGRADO
2008,LAT,46,39.0,36.0,33.0,0.8478260869565217,0.782608695652174,0.717391304347826,PREGRADO
2008,LCC,50,36.0,32.0,31.0,0.72,0.64,0.62,PREGRADO
2008,LEB,34,29.0,29.0,28.0,0.8529411764705882,0.8529411764705882,0.8235294117647058,PREGRADO
2008,LEE,42,36.0,21.0,19.0,0.8571428571428571,0.5,0.4523809523809524,PREGRADO
2008,LEI,44,36.0,33.0,31.0,0.8181818181818182,0.75,0.7045454545454546,PREGRADO
2008,LEM,30,24.0,15.0,8.0,0.8,0.5,0.26666666666666666,PREGRADO
2008,LFM,30,25.0,14.0,10.0,0.8333333333333334,0.4666666666666667,0.3333333333333333,PREGRADO
2008,LICAF,52,50.0,48.0,47.0,0.9615384615384616,0.9230769230769231,0.9038461538461539,PREGRADO
2008,LOG,30,23.0,,,0.7666666666666667,,,PREGRADO
2008,LQC,31,22.0,17.0,17.0,0.7096774193548387,0.5483870967741935,0.5483870967741935,PREGRADO
2008,MAGADE,50,47.0,14.0,6.0,0.94,0.28,0.12,MAGISTER
